"species","habitat","mean","site"
"Rattus satarae","Forest",13.4,"Kadumane"
"Rattus satarae","Forest",4.89415029682476,"Kudremukh"
"Rattus satarae","Grassland",0,"Kadumane"
"Rattus satarae","Grassland",0.5,"Kudremukh"
"Mus cf fernandoni","Forest",3.12343028957332,"Kadumane"
"Mus cf fernandoni","Forest",0,"Kudremukh"
"Mus cf fernandoni","Grassland",13.8099777645296,"Kadumane"
"Mus cf fernandoni","Grassland",3,"Kudremukh"
"Mus cf famulus","Forest",0.4,"Kadumane"
"Mus cf famulus","Forest",0,"Kudremukh"
"Mus cf famulus","Grassland",16.639628022704,"Kadumane"
"Mus cf famulus","Grassland",1.5,"Kudremukh"
"Mus cf terricolor","Forest",0,"Kadumane"
"Mus cf terricolor","Forest",0,"Kudremukh"
"Mus cf terricolor","Grassland",30.8893702786081,"Kadumane"
"Mus cf terricolor","Grassland",80.4365645423002,"Kudremukh"
